word,normalized_word,length,difficulty,category,source,is_active
"باب","باب",3,"easy","عام","manual_approved",true
"بيت","بيت",3,"easy","عام","manual_approved",true
"دار","دار",3,"easy","عام","manual_approved",true
"سقف","سقف",3,"easy","عام","manual_approved",true
"سور","سور",3,"easy","عام","manual_approved",true
"نور","نور",3,"easy","عام","manual_approved",true
"ليل","ليل",3,"easy","طبيعة","manual_approved",true
"فجر","فجر",3,"easy","طبيعة","manual_approved",true
"صبح","صبح",3,"easy","طبيعة","manual_approved",true
"يوم","يوم",3,"easy","عام","manual_approved",true
"عام","عام",3,"easy","عام","manual_approved",true
"وقت","وقت",3,"easy","عام","manual_approved",true
"حلم","حلم",3,"easy","عام","manual_approved",true
"فرح","فرح",3,"easy","عام","manual_approved",true
"حزن","حزن",3,"easy","عام","manual_approved",true
"قلب","قلب",3,"easy","عام","manual_approved",true
"وجه","وجه",3,"easy","عام","manual_approved",true
"راس","راس",3,"easy","عام","manual_approved",true
"عين","عين",3,"easy","عام","manual_approved",true
"انف","انف",3,"easy","عام","manual_approved",true
"قدم","قدم",3,"easy","عام","manual_approved",true
"ظهر","ظهر",3,"easy","عام","manual_approved",true
"كتف","كتف",3,"easy","عام","manual_approved",true
"بطن","بطن",3,"easy","عام","manual_approved",true
"صدر","صدر",3,"easy","عام","manual_approved",true
"جلد","جلد",3,"easy","عام","manual_approved",true
"عظم","عظم",3,"easy","عام","manual_approved",true
"ماء","ماء",3,"easy","طبيعة","manual_approved",true
"نار","نار",3,"easy","طبيعة","manual_approved",true
"رمل","رمل",3,"easy","طبيعة","manual_approved",true
"طين","طين",3,"easy","طبيعة","manual_approved",true
"ثلج","ثلج",3,"easy","طبيعة","manual_approved",true
"غيم","غيم",3,"easy","طبيعة","manual_approved",true
"برق","برق",3,"easy","طبيعة","manual_approved",true
"رعد","رعد",3,"easy","طبيعة","manual_approved",true
"ريح","ريح",3,"easy","طبيعة","manual_approved",true
"بحر","بحر",3,"easy","طبيعة","manual_approved",true
"نهر","نهر",3,"easy","طبيعة","manual_approved",true
"جبل","جبل",3,"easy","طبيعة","manual_approved",true
"سهل","سهل",3,"easy","طبيعة","manual_approved",true
"ورد","ورد",3,"easy","طبيعة","manual_approved",true
"زهر","زهر",3,"easy","طبيعة","manual_approved",true
"غصن","غصن",3,"easy","طبيعة","manual_approved",true
"ورق","ورق",3,"easy","طبيعة","manual_approved",true
"تمر","تمر",3,"easy","طعام","manual_approved",true
"تين","تين",3,"easy","طعام","manual_approved",true
"خبز","خبز",3,"easy","طعام","manual_approved",true
"ملح","ملح",3,"easy","طعام","manual_approved",true
"ارز","ارز",3,"easy","طعام","manual_approved",true
"لبن","لبن",3,"easy","طعام","manual_approved",true
"عسل","عسل",3,"easy","طعام","manual_approved",true
"سمك","سمك",3,"easy","طعام","manual_approved",true
"لحم","لحم",3,"easy","طعام","manual_approved",true
"بيض","بيض",3,"easy","طعام","manual_approved",true
"شاي","شاي",3,"easy","طعام","manual_approved",true
"حوت","حوت",3,"easy","حيوانات","manual_approved",true
"اسد","اسد",3,"easy","حيوانات","manual_approved",true
"ثور","ثور",3,"easy","حيوانات","manual_approved",true
"بقر","بقر",3,"easy","حيوانات","manual_approved",true
"جمل","جمل",3,"easy","حيوانات","manual_approved",true
"غنم","غنم",3,"easy","حيوانات","manual_approved",true
"نحل","نحل",3,"easy","حيوانات","manual_approved",true
"نمل","نمل",3,"easy","حيوانات","manual_approved",true
"صقر","صقر",3,"easy","حيوانات","manual_approved",true
"نسر","نسر",3,"easy","حيوانات","manual_approved",true
"بوم","بوم",3,"easy","حيوانات","manual_approved",true
"كلب","كلب",3,"easy","حيوانات","manual_approved",true
"علم","علم",3,"easy","تعليم","manual_approved",true
"درس","درس",3,"easy","تعليم","manual_approved",true
"كتب","كتب",3,"easy","تعليم","manual_approved",true
"قلم","قلم",3,"easy","تعليم","manual_approved",true
"حبر","حبر",3,"easy","تعليم","manual_approved",true
"رسم","رسم",3,"easy","تعليم","manual_approved",true
"لون","لون",3,"easy","تعليم","manual_approved",true
"عدد","عدد",3,"easy","تعليم","manual_approved",true
"رقم","رقم",3,"easy","تعليم","manual_approved",true
"جمع","جمع",3,"easy","تعليم","manual_approved",true
"طرح","طرح",3,"easy","تعليم","manual_approved",true
"ضرب","ضرب",3,"easy","تعليم","manual_approved",true
"شكل","شكل",3,"easy","تعليم","manual_approved",true
"لوح","لوح",3,"easy","تعليم","manual_approved",true
"فصل","فصل",3,"easy","تعليم","manual_approved",true
"كرة","كرة",3,"easy","عام","manual_approved",true
"لعب","لعب",3,"easy","عام","manual_approved",true
"دور","دور",3,"easy","عام","manual_approved",true
"سوق","سوق",3,"easy","عام","manual_approved",true
"مال","مال",3,"easy","عام","manual_approved",true
"عمل","عمل",3,"easy","عام","manual_approved",true
"فتح","فتح",3,"easy","عام","manual_approved",true
"قفل","قفل",3,"easy","أدوات","manual_approved",true
"حبل","حبل",3,"easy","أدوات","manual_approved",true
"كوب","كوب",3,"easy","أدوات","manual_approved",true
"طبق","طبق",3,"easy","أدوات","manual_approved",true
"كيس","كيس",3,"easy","أدوات","manual_approved",true
"فرن","فرن",3,"easy","أدوات","manual_approved",true
"صحن","صحن",3,"easy","أدوات","manual_approved",true
"قدر","قدر",3,"easy","أدوات","manual_approved",true
"قمر","قمر",3,"easy","طبيعة","manual_approved",true
"نجم","نجم",3,"easy","طبيعة","manual_approved",true
"كتاب","كتاب",4,"easy","تعليم","manual_approved",true
"دفتر","دفتر",4,"easy","تعليم","manual_approved",true
"كلمة","كلمة",4,"easy","تعليم","manual_approved",true
"كرسي","كرسي",4,"easy","أدوات","manual_approved",true
"سرير","سرير",4,"easy","أدوات","manual_approved",true
"شوكة","شوكة",4,"easy","أدوات","manual_approved",true
"سكين","سكين",4,"easy","أدوات","manual_approved",true
"طعام","طعام",4,"easy","طعام","manual_approved",true
"خبزة","خبزة",4,"easy","طعام","manual_approved",true
"تمرة","تمرة",4,"easy","طعام","manual_approved",true
"تفاح","تفاح",4,"easy","طعام","manual_approved",true
"موزة","موزة",4,"easy","طعام","manual_approved",true
"عنبة","عنبة",4,"easy","طعام","manual_approved",true
"حليب","حليب",4,"easy","طعام","manual_approved",true
"جبنة","جبنة",4,"easy","طعام","manual_approved",true
"سلطة","سلطة",4,"easy","طعام","manual_approved",true
"حساء","حساء",4,"easy","طعام","manual_approved",true
"شربة","شربة",4,"easy","طعام","manual_approved",true
"بقرة","بقرة",4,"easy","حيوانات","manual_approved",true
"ناقة","ناقة",4,"easy","حيوانات","manual_approved",true
"حصان","حصان",4,"easy","حيوانات","manual_approved",true
"حمار","حمار",4,"easy","حيوانات","manual_approved",true
"خروف","خروف",4,"easy","حيوانات","manual_approved",true
"ارنب","ارنب",4,"easy","حيوانات","manual_approved",true
"غزال","غزال",4,"easy","حيوانات","manual_approved",true
